"zcta10","stateco","alloc","puma10","pumaname","nameshort","per_in_puma","per_of_puma"
"10303","36085","x","03903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",1,0.15
"10304","36085","x","03903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",0.667,0.16
"10305","36085","x","03902","NYC-Staten Island Community District 2--New Springville & South Beach","New Springville & South Beach",0.691,0.217
"10306","36085","x","03902","NYC-Staten Island Community District 2--New Springville & South Beach","New Springville & South Beach",0.523,0.22
"10307","36085","x","03901","NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale","Tottenville, Great Kills & Annadale",1,0.088
"10308","36085","x","03901","NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale","Tottenville, Great Kills & Annadale",1,0.171
"10309","36085","x","03901","NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale","Tottenville, Great Kills & Annadale",1,0.203
"10310","36085","x","03903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",1,0.142
"10311","36085","x","03902","NYC-Staten Island Community District 2--New Springville & South Beach","New Springville & South Beach",,0
"10312","36085","x","03901","NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale","Tottenville, Great Kills & Annadale",1,0.371
"10314","36085","x","03902","NYC-Staten Island Community District 2--New Springville & South Beach","New Springville & South Beach",0.696,0.447
